"FaciltyId","Year","Measure","Note"
"43029",2016,"I_006_01","4"
"43029",2017,"I_006_01","7"
"43029",2018,"I_006_01","7"
"43031",2016,"I_006_01","4"
"43032",2016,"I_006_01","4"
"43033",2017,"I_006_01","7"
"43033",2018,"I_006_01","7"
"43034",2017,"I_006_01","7"
"43034",2018,"I_006_01","7"
"43035",2018,"I_006_01","7"
"50006",2017,"I_006_01","7"
"50006",2018,"I_006_01","7"
"50008",2016,"I_006_01","4"
"50009",2017,"I_006_01","7"
"50009",2018,"I_006_01","7"
"50016",2017,"I_006_01","5"
"50016",2018,"I_006_01","5"
"50017",2017,"I_006_01","7"
"50017",2018,"I_006_01","7"
"50018",2017,"I_006_01","5"
"50018",2018,"I_006_01","5"
"50024",2017,"I_006_01","7"
"50024",2018,"I_006_01","7"
"50026",2018,"I_006_01","7"
"50038",2016,"I_006_01","4"
"50039",2017,"I_006_01","7"
"50057",2016,"I_006_01","4"
"50058",2017,"I_006_01","7"
"50058",2018,"I_006_01","7"
"50060",2016,"I_006_01","4"
"50063",2016,"I_006_01","4"
"50063",2017,"I_006_01","7"
"50063",2018,"I_006_01","7"
"50073",2017,"I_006_01","7"
"50073",2018,"I_006_01","7"
"50078",2018,"I_006_01","7"
"50082",2017,"I_006_01","7"
"50082",2018,"I_006_01","7"
"50100",2017,"I_006_01","7"
"50100",2018,"I_006_01","7"
"50103",2017,"I_006_01","7"
"50103",2018,"I_006_01","7"
"50107",2017,"I_006_01","7"
"50107",2018,"I_006_01","7"
"50115",2016,"I_006_01","4"
"50116",2016,"I_006_01","4"
"50116",2017,"I_006_01","7"
"50126",2016,"I_006_01","4"
"50126",2017,"I_006_01","7"
"50126",2018,"I_006_01","7"
"50128",2017,"I_006_01","7"
"50128",2018,"I_006_01","7"
"50135",2016,"I_006_01","4"
"50135",2018,"I_006_01","7"
"50145",2017,"I_006_01","7"
"50145",2018,"I_006_01","7"
"50152",2017,"I_006_01","7"
"50152",2018,"I_006_01","7"
"50158",2017,"I_006_01","5"
"50158",2018,"I_006_01","5"
"50167",2017,"I_006_01","5"
"50168",2016,"I_006_01","4"
"50168",2017,"I_006_01","7"
"50168",2018,"I_006_01","7"
"50169",2016,"I_006_01","4"
"50169",2018,"I_006_01","7"
"50174",2017,"I_006_01","7"
"50174",2018,"I_006_01","7"
"50180",2017,"I_006_01","7"
"50180",2018,"I_006_01","7"
"50191",2016,"I_006_01","4"
"50191",2018,"I_006_01","7"
"50204",2017,"I_006_01","5"
"50235",2017,"I_006_01","7"
"50235",2018,"I_006_01","7"
"50236",2017,"I_006_01","5"
"50236",2018,"I_006_01","5"
"50238",2016,"I_006_01","4"
"50239",2017,"I_006_01","7"
"50239",2018,"I_006_01","7"
"50242",2016,"I_006_01","4"
"50243",2016,"I_006_01","4"
"50243",2018,"I_006_01","7"
"50248",2016,"I_006_01","4"
"50248",2017,"I_006_01","7"
"50248",2018,"I_006_01","7"
"50262",2017,"I_006_01","5"
"50262",2018,"I_006_01","5"
"50278",2017,"I_006_01","7"
"50278",2018,"I_006_01","7"
"50281",2016,"I_006_01","4"
"50283",2017,"I_006_01","5"
"50283",2018,"I_006_01","5"
"50305",2017,"I_006_01","5"
"50308",2016,"I_006_01","4"
"50308",2018,"I_006_01","7"
"50309",2016,"I_006_01","4"
"50320",2017,"I_006_01","7"
"50320",2018,"I_006_01","7"
"50327",2016,"I_006_01","4"
"50336",2017,"I_006_01","7"
"50336",2018,"I_006_01","7"
"50348",2017,"I_006_01","7"
"50348",2018,"I_006_01","7"
"50380",2017,"I_006_01","7"
"50380",2018,"I_006_01","7"
